timestamp,date,expiry_type,expiry,spot,atm,pcr_range,pcr_atm,ce_oi_L,pe_oi_L,atm_ce_oi_L,atm_pe_oi_L,pcr_chg,vix_open,vix_curr,spcl
2026-07-02 09:28,2026-07-02,near,2026-07-28,58174.20,58200,0.7521,0.4722,41.289,31.055,1.817,0.858,0.6958,13.24,12.88,65.5081
2026-07-02 09:28,2026-07-02,far,2026-08-25,58174.20,58200,1.6082,0.7568,1.339,2.154,0.011,0.008,1.3544,13.24,12.88,
2026-07-02 09:32,2026-07-02,near,2026-07-28,58183.90,58200,0.7550,0.5012,41.486,31.322,1.840,0.922,0.7787,13.24,12.92,65.5182
2026-07-02 09:32,2026-07-02,far,2026-08-25,58183.90,58200,1.6435,0.8108,1.340,2.203,0.011,0.009,3.0843,13.24,12.92,
2026-07-02 09:35,2026-07-02,near,2026-07-28,58221.25,58200,0.7605,0.5277,41.484,31.547,1.828,0.965,0.9133,13.24,12.83,65.5539
2026-07-02 09:35,2026-07-02,far,2026-08-25,58221.25,58200,1.6603,0.8108,1.342,2.228,0.011,0.009,3.7640,13.24,12.83,
2026-08-04 21:18,2026-08-04,near,2026-08-25,57907.2,57900,0.6228,0.636,77.878,48.502,1.547,0.984,,,,
2026-08-04 21:56,2026-08-04,near,2026-08-25,57907.2,57900,0.6228,0.636,77.878,48.502,1.547,0.984,,,,
2026-08-05 13:38,2026-08-05,near,2026-08-25,57520.0,57500,0.7588,0.6895,71.672,54.385,6.503,4.484,,,,
2026-08-06 11:34,2026-08-06,near,2026-08-25,57901.55,57900,0.7488,0.915,76.991,57.647,2.16,1.976,,,,
2026-08-07 10:31,2026-08-07,near,2026-08-25,57836.25,57800,0.8183,0.7251,74.463,60.936,3.057,2.216,,,,
2026-08-10 10:20,2026-08-10,near,2026-08-25,57675.85,57700,0.8544,0.9023,72.537,61.977,2.729,2.463,,,,
2026-08-12 10:27,2026-08-12,near,2026-08-25,57707.8,57700,0.8648,0.7,78.206,67.634,3.5,2.45,,,,
2026-08-12 10:44,2026-08-12,near,2026-08-25,57701.3,57700,0.8865,0.845,77.612,68.801,3.285,2.776,,,,
2026-08-12 11:01,2026-08-12,near,2026-08-25,57605.75,57600,0.8935,1.0876,76.672,68.504,2.425,2.638,,,,
2026-08-12 11:17,2026-08-12,near,2026-08-25,57574.35,57600,0.8811,0.959,77.044,67.884,2.575,2.469,,,,
