timestamp,date,expiry_type,expiry,spot,atm,pcr_range,pcr_atm,ce_oi_L,pe_oi_L,atm_ce_oi_L,atm_pe_oi_L,pcr_chg,vix_open,vix_curr,spcl
2026-06-09 09:15,2026-06-09,near,2026-06-09,23231.90,23250,0.6385,0.1945,1013.184,646.899,58.532,11.382,0.0000,17.03,16.36,16.8711
2026-06-09 09:15,2026-06-09,far,2026-07-28,23231.90,23250,1.9809,0.6786,14.633,28.988,0.055,0.037,0.0000,17.03,16.36,
2026-06-09 09:20,2026-06-09,near,2026-06-09,23242.70,23250,0.8097,0.5363,1448.052,1172.487,151.266,81.121,0.0000,17.03,16.09,14.8510
2026-06-09 09:20,2026-06-09,far,2026-07-28,23242.70,23250,1.9720,0.6374,14.651,28.892,0.059,0.038,0.0000,17.03,16.09,
2026-06-09 09:25,2026-06-09,near,2026-06-09,23238.95,23250,0.8660,0.5998,1640.473,1420.724,198.558,119.103,0.0000,17.03,16.12,14.6196
2026-06-09 09:25,2026-06-09,far,2026-07-28,23238.95,23250,1.9763,0.7129,14.648,28.948,0.066,0.047,0.0000,17.03,16.12,
2026-06-09 09:31,2026-06-09,near,2026-06-09,23237.35,23250,0.8532,0.5631,1816.592,1549.829,239.829,135.045,0.0000,17.03,15.93,14.2684
2026-06-09 09:31,2026-06-09,far,2026-07-28,23237.35,23250,1.9732,0.6887,14.692,28.991,0.069,0.047,0.0000,17.03,15.93,
2026-06-09 09:36,2026-06-09,near,2026-06-09,23243.35,23250,0.8952,0.6386,1902.460,1703.012,254.663,162.619,0.0000,17.03,15.83,14.0746
2026-06-09 09:36,2026-06-09,far,2026-07-28,23243.35,23250,1.9794,0.7290,14.697,29.091,0.070,0.051,0.0000,17.03,15.83,
2026-06-09 09:41,2026-06-09,near,2026-06-09,23218.75,23200,0.8835,1.3329,2004.504,1770.946,217.659,290.112,0.0000,17.03,15.86,14.3061
2026-06-09 09:41,2026-06-09,far,2026-07-28,23218.75,23200,2.0197,3.0032,14.625,29.538,0.403,1.210,0.0000,17.03,15.86,
2026-06-09 09:47,2026-06-09,near,2026-06-09,23213.25,23200,0.8148,1.0526,2140.153,1743.783,257.663,271.214,0.0000,17.03,15.94,14.1509
2026-06-09 09:47,2026-06-09,far,2026-07-28,23213.25,23200,2.0091,2.9888,14.708,29.550,0.406,1.212,0.0000,17.03,15.94,
2026-06-09 09:52,2026-06-09,near,2026-06-09,23207.30,23200,0.7622,0.8935,2196.737,1674.278,273.138,244.053,0.0000,17.03,15.93,14.1395
2026-06-09 09:52,2026-06-09,far,2026-07-28,23207.30,23200,2.0060,2.9324,14.736,29.559,0.413,1.212,0.0000,17.03,15.93,
2026-06-09 09:57,2026-06-09,near,2026-06-09,23185.75,23200,0.7981,1.0077,2193.140,1750.428,260.114,262.117,0.0000,17.03,16.00,14.2381
2026-06-09 09:57,2026-06-09,far,2026-07-28,23185.75,23200,2.0088,2.9588,14.739,29.609,0.410,1.214,0.0000,17.03,16.00,
2026-06-09 10:03,2026-06-09,near,2026-06-09,23180.00,23200,0.7653,0.8549,2299.744,1760.076,301.595,257.825,0.0000,17.03,16.04,14.1623
2026-06-09 10:03,2026-06-09,far,2026-07-28,23180.00,23200,2.0020,2.9542,14.791,29.612,0.411,1.216,0.0000,17.03,16.04,
2026-06-09 10:08,2026-06-09,near,2026-06-09,23170.00,23150,0.7642,1.3103,2252.123,1721.133,122.023,159.883,0.0000,17.03,16.04,14.3400
2026-06-09 10:08,2026-06-09,far,2026-07-28,23170.00,23150,2.1254,3.0000,13.688,29.093,0.026,0.078,0.0000,17.03,16.04,
2026-06-09 10:13,2026-06-09,near,2026-06-09,23171.65,23150,0.7345,1.1404,2330.042,1711.358,141.758,161.654,0.0000,17.03,16.03,14.3588
2026-06-09 10:13,2026-06-09,far,2026-07-28,23171.65,23150,2.1222,2.9512,13.763,29.208,0.027,0.079,0.0000,17.03,16.03,
2026-06-09 10:19,2026-06-09,near,2026-06-09,23173.70,23150,0.7261,1.1102,2400.105,1742.832,155.054,172.134,0.0000,17.03,16.04,14.2684
2026-06-09 10:19,2026-06-09,far,2026-07-28,23173.70,23150,2.1146,2.9512,13.814,29.212,0.027,0.079,0.0000,17.03,16.04,
2026-06-09 10:24,2026-06-09,near,2026-06-09,23151.60,23150,0.6857,0.9248,2423.455,1661.662,165.859,153.388,0.0000,17.03,16.15,14.1813
2026-06-09 10:24,2026-06-09,far,2026-07-28,23151.60,23150,2.1076,2.8810,13.868,29.227,0.027,0.079,0.0000,17.03,16.15,
2026-06-09 10:29,2026-06-09,near,2026-06-09,23164.80,23150,0.6807,0.9067,2495.205,1698.586,184.993,167.733,0.0000,17.03,16.16,14.1433
2026-06-09 10:29,2026-06-09,far,2026-07-28,23164.80,23150,2.1047,2.7500,13.894,29.244,0.029,0.079,0.0000,17.03,16.16,
2026-06-09 10:35,2026-06-09,near,2026-06-09,23158.40,23150,0.6999,0.9702,2528.960,1770.108,191.445,185.731,0.0000,17.03,16.17,14.1242
2026-06-09 10:35,2026-06-09,far,2026-07-28,23158.40,23150,2.0971,2.6522,13.959,29.274,0.030,0.079,0.0000,17.03,16.17,
2026-06-09 10:40,2026-06-09,near,2026-06-09,23149.15,23150,0.6922,0.9186,2572.475,1780.577,203.410,186.844,0.0000,17.03,16.20,14.0018
2026-06-09 10:40,2026-06-09,far,2026-07-28,23149.15,23150,2.0932,2.6739,13.995,29.295,0.030,0.080,0.0000,17.03,16.20,
2026-06-09 10:45,2026-06-09,near,2026-06-09,23165.40,23150,0.6916,0.9170,2622.186,1813.570,210.970,193.469,0.0000,17.03,16.20,13.8939
2026-06-09 10:45,2026-06-09,far,2026-07-28,23165.40,23150,2.0805,2.6170,14.104,29.342,0.031,0.080,0.0000,17.03,16.20,
2026-06-09 10:51,2026-06-09,near,2026-06-09,23131.50,23150,0.6471,0.7569,2609.369,1688.572,217.773,164.835,0.0000,17.03,16.29,13.8746
2026-06-09 10:51,2026-06-09,far,2026-07-28,23131.50,23150,2.0727,2.5833,14.180,29.391,0.031,0.081,0.0000,17.03,16.29,
2026-06-09 10:56,2026-06-09,near,2026-06-09,23151.50,23150,0.6663,0.7500,2626.370,1749.939,232.185,174.138,0.0000,17.03,16.18,13.8087
