ts,instrument,expiry,spot,atm,pcr,ce_oi,pe_oi,strikes,spot_hma,anchor_ce_h,anchor_ce_ltp,anchor_pe_h,anchor_pe_ltp,source
2026-09-01T14:04:13+05:30,NIFTY,2026-09-01,23981.95,24000,0.6372,313246895,199609085,50,24046.08,166.8,27.2,44.95,39.7,public-candle-OI
2026-09-01T14:23:26+05:30,NIFTY,2026-09-01,23955.35,23950,0.5865,318344455,186702685,50,24002.49,214.5,42.95,34.8,30.6,public-candle-OI
2026-09-01T14:41:57+05:30,NIFTY,2026-09-01,23960.35,23950,0.6147,303911205,186802395,50,23969.28,214.5,44.2,34.8,26.4,public-candle-OI
2026-09-01T15:00:23+05:30,NIFTY,2026-09-01,23983.35,24000,0.6424,293500935,188550375,50,23953.47,166.8,28.75,63.8,35.5,public-candle-OI
2026-09-01T15:18:57+05:30,NIFTY,2026-09-01,23980.55,24000,0.7391,229484255,169621985,50,23943.97,166.8,34.75,63.8,32.05,public-candle-OI
2026-09-01T15:37:35+05:30,NIFTY,2026-09-01,24055.8,24050,0.9527,143891930,137079735,50,23945.69,121.7,5.75,103.2,0.05,public-candle-OI
2026-09-02T13:21:24+05:30,NIFTY,2026-09-08,23871.2,23850,0.9743,90643670,88316865,49,23842.78,186.0,174.3,144.9,101.2,public-candle-OI
2026-09-02T13:40:14+05:30,NIFTY,2026-09-08,23875.55,23900,0.9402,96363150,90600380,50,23860.84,154.9,142.35,170.0,119.65,public-candle-OI
2026-09-02T13:58:25+05:30,NIFTY,2026-09-08,23868.4,23850,1.0449,87627475,91563160,49,23872.02,186.0,173.4,144.9,100.1,public-candle-OI
2026-09-02T14:16:30+05:30,NIFTY,2026-09-08,23885.15,23900,0.9827,93779855,92153100,50,23881.95,158.8,151.7,170.0,114.8,public-candle-OI
2026-09-02T14:34:35+05:30,NIFTY,2026-09-08,23907.8,23900,0.982,90736490,89105120,50,23888.18,170.55,167.35,170.0,103.15,public-candle-OI
2026-09-02T14:52:51+05:30,NIFTY,2026-09-08,23890.25,23900,0.9991,88476700,88397985,50,23895.87,170.55,149.7,170.0,113.4,public-candle-OI
2026-09-02T15:11:02+05:30,NIFTY,2026-09-08,23862.05,23850,1.0099,81323125,82127240,49,23894.91,202.5,164.9,144.9,99.8,public-candle-OI
2026-09-02T15:29:10+05:30,NIFTY,2026-09-08,23882.85,23900,0.8638,85069075,73482305,50,23890.87,170.55,129.1,170.0,120.7,public-candle-OI
2026-09-02T15:47:53+05:30,NIFTY,2026-09-08,23914.45,23900,0.8383,81880175,68640585,50,23891.77,170.55,131.6,170.0,114.4,public-candle-OI
2026-09-03T13:29:18+05:30,NIFTY,2026-09-08,23912.8,23900,0.7198,128316435,92356680,50,23908.1,218.25,137.7,97.45,88.75,public-candle-OI
2026-09-03T13:49:17+05:30,NIFTY,2026-09-08,23896.65,23900,0.7103,129736100,92151800,50,23904.53,218.25,131.4,97.45,89.75,public-candle-OI
2026-09-03T14:08:30+05:30,NIFTY,2026-09-08,23912.2,23900,0.7132,129977835,92700465,50,23903.37,218.25,140.4,97.45,82.75,public-candle-OI
2026-09-03T14:27:50+05:30,NIFTY,2026-09-08,23916.1,23900,0.71,130588380,92712100,50,23905.16,218.25,139.85,97.45,81.3,public-candle-OI
2026-09-03T14:47:14+05:30,NIFTY,2026-09-08,23910.45,23900,0.7193,128557520,92465100,50,23908.19,218.25,141.55,97.45,80.4,public-candle-OI
2026-09-03T15:06:33+05:30,NIFTY,2026-09-08,23889.8,23900,0.7112,127090275,90387245,50,23906.91,218.25,131.45,97.45,88.35,public-candle-OI
