ts,instrument,expiry,spot,atm,pcr,ce_oi,pe_oi,strikes,spot_hma,anchor_ce_h,anchor_ce_ltp,anchor_pe_h,anchor_pe_ltp,source
2026-08-04T21:18:40+05:30,SENSEX,2026-08-06,78428.95,78400,0.6682,11525020,7700660,50,78279.71,637.15,309.0,442.7,322.05,public-candle-OI
2026-08-04T21:56:50+05:30,SENSEX,2026-08-06,78428.95,78400,0.6682,11525020,7700660,50,78279.71,637.15,309.0,442.7,322.05,public-candle-OI
2026-08-05T13:38:59+05:30,SENSEX,2026-08-06,78396.83,78400,0.6937,25926640,17984800,50,78380.88,695.45,363.0,376.3,340.25,public-candle-OI
2026-08-06T11:34:52+05:30,SENSEX,2026-08-06,78839.98,78800,1.0499,26065420,27366460,50,78837.58,399.7,364.6,402.7,322.0,public-candle-OI
2026-08-07T10:31:52+05:30,SENSEX,2026-08-13,78538.25,78500,0.9595,4504900,4322260,50,78648.02,824.0,615.35,474.0,467.35,public-candle-OI
2026-08-10T10:20:42+05:30,SENSEX,2026-08-13,78509.78,78500,0.8242,7329400,6040960,50,78415.36,650.0,499.6,507.55,397.75,public-candle-OI
2026-08-12T10:27:54+05:30,SENSEX,2026-08-13,77841.92,77800,0.6652,26803660,17830940,50,77914.9,622.75,308.05,228.95,200.95,public-candle-OI
2026-08-12T10:44:41+05:30,SENSEX,2026-08-13,77857.35,77900,0.6873,27790600,19101500,50,77860.93,540.35,248.8,278.0,241.7,public-candle-OI
2026-08-12T11:01:28+05:30,SENSEX,2026-08-13,77651.31,77700,0.6645,25529020,16963920,50,77807.48,704.9,261.05,291.5,259.65,public-candle-OI
2026-08-12T11:18:15+05:30,SENSEX,2026-08-13,77624.58,77600,0.6861,28308480,19422140,50,77702.32,784.35,307.3,243.8,213.05,public-candle-OI
2026-08-12T11:34:58+05:30,SENSEX,2026-08-13,77612.42,77600,0.705,28894480,20369520,50,77633.62,784.35,299.65,243.8,213.4,public-candle-OI
2026-08-12T11:51:43+05:30,SENSEX,2026-08-13,77576.46,77600,0.6919,29959960,20728240,50,77566.75,784.35,280.9,243.8,223.4,public-candle-OI
2026-08-12T12:08:22+05:30,SENSEX,2026-08-13,77544.85,77500,0.709,29683520,21045600,50,77522.87,825.4,331.4,200.5,183.0,public-candle-OI
2026-08-12T12:25:05+05:30,SENSEX,2026-08-13,77529.44,77500,0.7149,30185620,21580380,50,77484.45,825.4,317.05,200.5,183.95,public-candle-OI
2026-08-12T12:41:40+05:30,SENSEX,2026-08-13,77595.29,77600,0.6686,31708200,21200400,50,77463.1,784.35,274.0,243.8,209.7,public-candle-OI
2026-08-12T12:58:11+05:30,SENSEX,2026-08-13,77543.1,77500,0.7404,30282720,22421100,50,77465.3,825.4,308.4,200.5,183.0,public-candle-OI
2026-08-12T13:14:39+05:30,SENSEX,2026-08-13,77549.25,77500,0.7649,30583420,23393140,50,77476.23,825.4,314.15,200.5,168.55,public-candle-OI
2026-08-12T13:31:17+05:30,SENSEX,2026-08-13,77580.25,77600,0.7315,31493360,23036540,50,77497.77,784.35,273.7,243.8,189.75,public-candle-OI
2026-08-12T13:47:58+05:30,SENSEX,2026-08-13,77586.93,77600,0.7243,31850180,23070160,50,77529.11,784.35,259.1,243.8,200.45,public-candle-OI
2026-08-12T14:04:43+05:30,SENSEX,2026-08-13,77574.38,77600,0.7111,32366500,23015940,50,77548.24,784.35,251.55,243.8,204.9,public-candle-OI
2026-08-12T14:21:30+05:30,SENSEX,2026-08-13,77592.63,77600,0.723,32235480,23305940,50,77559.37,784.35,264.25,243.8,189.85,public-candle-OI
2026-08-12T14:38:19+05:30,SENSEX,2026-08-13,77689.27,77700,0.8102,28727460,23274640,50,77586.61,704.9,267.7,293.65,182.55,public-candle-OI
2026-08-12T14:55:07+05:30,SENSEX,2026-08-13,77770.41,77800,0.7509,29797320,22373320,50,77629.17,622.75,260.85,354.0,176.8,public-candle-OI
2026-08-12T15:11:53+05:30,SENSEX,2026-08-13,77851.4,77900,0.871,23901960,20819300,50,77725.79,540.35,263.5,418.55,176.25,public-candle-OI
2026-08-12T15:28:44+05:30,SENSEX,2026-08-13,77889.97,77900,0.9329,19453520,18147260,50,77800.52,540.35,275.4,418.55,149.95,public-candle-OI
2026-08-19T14:36:34+05:30,SENSEX,2026-08-20,76903.66,76900,0.678,38954740,26412980,50,76871.29,556.35,249.85,223.65,144.15,public-candle-OI
2026-08-19T14:54:43+05:30,SENSEX,2026-08-20,76912.14,76900,0.7317,35341880,25861020,50,76873.94,556.35,237.5,223.65,155.0,public-candle-OI
2026-08-19T15:12:41+05:30,SENSEX,2026-08-20,76889.36,76900,0.8046,32669260,26284180,50,76884.81,556.35,252.15,223.65,147.1,public-candle-OI
2026-08-19T15:30:33+05:30,SENSEX,2026-08-20,76908.05,76900,0.7988,27759900,22173980,50,76894.38,556.35,233.55,223.65,146.9,public-candle-OI
2026-08-19T15:48:35+05:30,SENSEX,2026-08-20,76909.68,76900,0.7848,23916500,18770020,50,76894.43,556.35,212.8,223.65,152.55,public-candle-OI
2026-08-20T09:26:22+05:30,SENSEX,2026-08-20,77393.34,77400,0.8523,40342500,34382140,50,76939.26,188.0,154.55,292.95,98.15,public-candle-OI
