ts,instrument,expiry,spot,atm,pcr,ce_oi,pe_oi,strikes,spot_hma,anchor_ce_h,anchor_ce_ltp,anchor_pe_h,anchor_pe_ltp,source
2026-09-01T14:04:52+05:30,BANKNIFTY,2026-09-29,57217.3,57200,1.2478,5974440,7454940,50,57424.31,1250.0,926.0,602.0,599.45,public-candle-OI
2026-09-01T14:23:48+05:30,BANKNIFTY,2026-09-29,57168.1,57200,1.2056,6154830,7419990,50,57287.4,1250.0,912.0,628.2,617.45,public-candle-OI
2026-09-01T14:42:20+05:30,BANKNIFTY,2026-09-29,57222.8,57200,1.204,6154170,7409730,50,57192.66,1250.0,941.3,628.2,596.7,public-candle-OI
2026-09-01T15:00:45+05:30,BANKNIFTY,2026-09-29,57252.65,57300,1.0464,6650850,6959700,50,57154.25,1180.0,891.3,669.0,617.8,public-candle-OI
2026-09-01T15:19:20+05:30,BANKNIFTY,2026-09-29,57264.15,57300,1.0592,6515550,6901230,50,57136.3,1180.0,894.45,669.0,610.0,public-candle-OI
2026-09-01T15:37:58+05:30,BANKNIFTY,2026-09-29,57409.6,57400,1.052,6505350,6843930,50,57144.9,1114.6,816.55,713.95,661.05,public-candle-OI
2026-09-02T13:21:59+05:30,BANKNIFTY,2026-09-29,57074.6,57100,1.2501,6166710,7708830,50,57055.23,1020.0,959.65,713.0,581.75,public-candle-OI
2026-09-02T13:40:35+05:30,BANKNIFTY,2026-09-29,57047.75,57000,1.2807,6061980,7763280,50,57070.23,1080.0,995.2,673.25,563.7,public-candle-OI
2026-09-02T13:58:46+05:30,BANKNIFTY,2026-09-29,57052.95,57100,1.2452,6197220,7716780,50,57073.39,1020.0,952.1,713.0,590.25,public-candle-OI
2026-09-02T14:16:50+05:30,BANKNIFTY,2026-09-29,57134.2,57100,1.2712,6083190,7733160,50,57089.96,1023.45,1005.0,713.0,550.8,public-candle-OI
2026-09-02T14:34:57+05:30,BANKNIFTY,2026-09-29,57130.95,57100,1.2725,6061380,7712880,50,57100.27,1023.45,999.7,713.0,549.5,public-candle-OI
2026-09-02T14:53:12+05:30,BANKNIFTY,2026-09-29,57091.6,57100,1.2719,6042390,7685370,50,57108.39,1023.45,980.0,713.0,561.45,public-candle-OI
2026-09-02T15:11:23+05:30,BANKNIFTY,2026-09-29,57081.7,57100,1.2499,6037200,7545630,50,57098.77,1023.45,956.05,713.0,587.0,public-candle-OI
2026-09-02T15:29:31+05:30,BANKNIFTY,2026-09-29,57087.4,57100,1.2543,5946300,7458510,50,57094.24,1023.45,951.35,713.0,574.2,public-candle-OI
2026-09-02T15:48:14+05:30,BANKNIFTY,2026-09-29,57172.0,57200,1.226,6017790,7377900,50,57096.66,960.0,891.65,761.25,599.75,public-candle-OI
2026-09-03T13:30:05+05:30,BANKNIFTY,2026-09-29,57526.2,57500,1.0546,6651900,7015380,50,57524.48,994.0,853.3,704.35,560.0,public-candle-OI
2026-09-03T13:49:47+05:30,BANKNIFTY,2026-09-29,57555.45,57600,1.0373,6768360,7020750,50,57523.45,930.8,813.8,700.0,580.05,public-candle-OI
2026-09-03T14:08:56+05:30,BANKNIFTY,2026-09-29,57542.9,57500,1.0645,6682650,7113510,50,57533.75,994.0,857.0,704.35,547.8,public-candle-OI
2026-09-03T14:28:16+05:30,BANKNIFTY,2026-09-29,57511.05,57500,1.0524,6762180,7116360,50,57530.73,994.0,850.0,704.35,556.9,public-candle-OI
2026-09-03T14:47:41+05:30,BANKNIFTY,2026-09-29,57543.65,57500,1.0502,6757980,7097310,50,57532.83,994.0,847.2,704.35,555.7,public-candle-OI
2026-09-03T15:07:01+05:30,BANKNIFTY,2026-09-29,57427.4,57400,1.0547,6679710,7045170,50,57519.99,1060.0,865.85,559.45,550.45,public-candle-OI
2026-09-03T15:26:33+05:30,BANKNIFTY,2026-09-29,57433.65,57400,1.0504,6612660,6946260,50,57492.56,1060.0,863.85,565.0,543.5,public-candle-OI
2026-09-03T15:46:22+05:30,BANKNIFTY,2026-09-29,57380.6,57400,1.0575,6538710,6914790,50,57481.38,1060.0,828.7,583.15,569.0,public-candle-OI
2026-09-04T13:26:13+05:30,BANKNIFTY,2026-09-29,57621.7,57600,1.0967,6842280,7503960,50,57595.51,857.0,829.55,655.0,528.2,public-candle-OI
2026-09-04T13:45:16+05:30,BANKNIFTY,2026-09-29,57587.0,57600,1.1008,6833760,7522290,50,57595.29,857.0,801.6,655.0,543.0,public-candle-OI
2026-09-04T14:03:19+05:30,BANKNIFTY,2026-09-29,57533.1,57500,1.121,6702690,7513830,50,57586.31,959.95,844.4,610.5,517.0,public-candle-OI
2026-09-04T14:21:25+05:30,BANKNIFTY,2026-09-29,57515.1,57500,1.1095,6711000,7446120,50,57572.49,959.95,837.9,610.5,515.0,public-candle-OI
2026-09-07T13:43:21+05:30,BANKNIFTY,2026-09-29,57086.2,57100,0.0,450,0,50,57050.35,986.65,848.65,572.2,514.0,public-candle-OI
2026-09-07T14:02:13+05:30,BANKNIFTY,2026-09-29,57121.75,57100,0.0,450,0,50,57063.78,986.65,869.25,572.2,483.0,public-candle-OI
2026-09-07T14:20:31+05:30,BANKNIFTY,2026-09-29,57106.4,57100,0.0,450,0,50,57077.21,986.65,862.2,572.2,487.2,public-candle-OI
2026-09-07T14:38:43+05:30,BANKNIFTY,2026-09-29,57123.25,57100,0.0,450,0,50,57102.28,986.65,851.65,572.2,489.0,public-candle-OI
2026-09-07T14:56:55+05:30,BANKNIFTY,2026-09-29,57052.25,57100,0.0,450,0,50,57107.03,986.65,825.0,572.2,510.8,public-candle-OI
