ts,instrument,expiry,spot,atm,pcr,ce_oi,pe_oi,strikes,spot_hma,anchor_ce_h,anchor_ce_ltp,anchor_pe_h,anchor_pe_ltp,source
2026-08-04T21:18:27+05:30,NIFTY,2026-08-04,24614.9,24600,0.9048,98555145,89170965,50,24454.54,79.95,14.9,171.3,0.05,public-candle-OI
2026-08-04T21:55:36+05:30,NIFTY,2026-08-04,24614.9,24600,0.9048,98555145,89170965,50,24454.54,79.95,14.9,171.3,0.05,public-candle-OI
2026-08-05T13:38:22+05:30,NIFTY,2026-08-11,24525.6,24550,0.6203,95000165,58932705,50,24518.84,227.0,158.2,172.0,157.9,public-candle-OI
2026-08-06T11:33:29+05:30,NIFTY,2026-08-11,24663.2,24650,0.9534,76578320,73009560,50,24665.1,171.0,162.85,145.4,119.9,public-candle-OI
2026-08-07T10:30:47+05:30,NIFTY,2026-08-11,24567.6,24550,0.9451,110329050,104272870,50,24601.1,186.6,150.45,113.65,109.2,public-candle-OI
2026-08-10T10:19:19+05:30,NIFTY,2026-08-11,24563.9,24550,0.7911,161482620,127749245,50,24544.36,143.0,105.65,100.95,77.4,public-candle-OI
2026-08-12T10:26:33+05:30,NIFTY,2026-08-18,24374.8,24350,0.8233,76908000,63318190,50,24401.37,248.35,173.3,109.75,99.2,public-candle-OI
2026-08-12T10:44:08+05:30,NIFTY,2026-08-18,24376.9,24400,0.777,83572840,64932530,50,24380.6,214.05,142.35,132.0,121.15,public-candle-OI
2026-08-12T11:00:54+05:30,NIFTY,2026-08-18,24318.65,24300,0.8127,76802115,62420540,50,24365.96,285.55,175.0,114.35,101.45,public-candle-OI
2026-08-12T11:17:39+05:30,NIFTY,2026-08-18,24304.95,24300,0.7639,85537270,65342095,50,24334.67,285.55,171.2,114.35,106.1,public-candle-OI
2026-08-12T11:34:21+05:30,NIFTY,2026-08-18,24293.95,24300,0.7554,87500140,66101750,50,24311.91,285.55,165.45,114.35,110.0,public-candle-OI
2026-08-12T11:51:09+05:30,NIFTY,2026-08-18,24290.6,24300,0.7373,90101180,66432210,50,24293.42,285.55,164.0,118.95,111.1,public-candle-OI
2026-08-12T12:07:47+05:30,NIFTY,2026-08-18,24278.8,24300,0.7288,91797485,66901380,50,24273.29,285.55,161.5,118.95,112.35,public-candle-OI
2026-08-12T12:24:31+05:30,NIFTY,2026-08-18,24274.15,24250,0.7776,88713950,68987880,50,24260.6,321.35,187.95,100.6,95.95,public-candle-OI
2026-08-12T12:41:07+05:30,NIFTY,2026-08-18,24289.75,24300,0.7321,94612960,69268940,50,24253.85,285.55,164.45,121.65,108.7,public-candle-OI
2026-08-12T12:57:38+05:30,NIFTY,2026-08-18,24274.25,24250,0.7762,90464855,70218590,50,24252.72,321.35,185.0,100.6,96.15,public-candle-OI
2026-08-12T13:14:06+05:30,NIFTY,2026-08-18,24280.85,24300,0.7201,97083285,69912765,50,24255.27,285.55,158.0,121.65,112.5,public-candle-OI
2026-08-12T13:30:40+05:30,NIFTY,2026-08-18,24292.85,24300,0.7381,95514120,70502055,50,24262.16,285.55,163.05,121.65,106.15,public-candle-OI
2026-08-12T13:47:24+05:30,NIFTY,2026-08-18,24286.15,24300,0.741,95567030,70819645,50,24272.66,285.55,157.65,121.65,109.5,public-candle-OI
2026-08-12T14:04:08+05:30,NIFTY,2026-08-18,24282.0,24300,0.7339,96508685,70824130,50,24278.59,285.55,155.5,121.65,110.25,public-candle-OI
2026-08-12T14:20:54+05:30,NIFTY,2026-08-18,24290.0,24300,0.7311,96511025,70563610,50,24281.76,285.55,159.0,121.65,106.4,public-candle-OI
2026-08-12T14:37:46+05:30,NIFTY,2026-08-18,24318.4,24300,0.8001,86583445,69271670,50,24288.8,285.55,177.15,121.65,90.55,public-candle-OI
2026-08-12T14:54:30+05:30,NIFTY,2026-08-18,24342.95,24350,0.7841,85137195,66754935,50,24299.8,248.35,163.9,145.95,95.2,public-candle-OI
2026-08-12T15:11:20+05:30,NIFTY,2026-08-18,24356.05,24350,0.9202,70569850,64936820,50,24326.98,248.35,167.45,145.95,90.45,public-candle-OI
2026-08-12T15:28:10+05:30,NIFTY,2026-08-18,24361.7,24350,0.9416,64723035,60942050,50,24345.13,248.35,174.75,145.95,82.15,public-candle-OI
2026-08-19T14:35:01+05:30,NIFTY,2026-08-25,24044.0,24050,0.8534,119428530,101924485,50,24042.14,216.8,154.9,108.85,87.75,public-candle-OI
2026-08-19T14:53:47+05:30,NIFTY,2026-08-25,24045.65,24050,0.8893,113779900,101185175,50,24041.18,216.8,149.5,108.85,91.8,public-candle-OI
2026-08-19T15:11:46+05:30,NIFTY,2026-08-25,24037.95,24050,0.9247,107360110,99279310,50,24042.53,216.8,151.1,108.85,89.1,public-candle-OI
2026-08-19T15:29:38+05:30,NIFTY,2026-08-25,24048.55,24050,0.9375,99720075,93484560,50,24044.24,216.8,156.95,108.85,84.1,public-candle-OI
2026-08-19T15:47:37+05:30,NIFTY,2026-08-25,24078.3,24100,0.8714,103742015,90400960,50,24045.09,191.6,123.1,133.0,111.1,public-candle-OI
2026-08-20T09:25:07+05:30,NIFTY,2026-08-25,24192.5,24200,0.8748,104715585,91603395,50,24058.92,138.55,129.75,94.95,79.15,public-candle-OI
2026-08-20T09:42:54+05:30,NIFTY,2026-08-25,24204.05,24200,0.9491,106202655,100791990,50,24110.46,138.55,133.15,94.95,73.75,public-candle-OI
